,time,brier_score,label
0,6.264,0.003023558579810205,RSF
1,7.89872,0.008772316805801211,RSF
2,10.0,0.02966430623403875,RSF
3,10.802880000000002,0.02966430623403875,RSF
4,12.4376,0.0358686896069497,RSF
5,14.072320000000001,0.04322899696417148,RSF
6,15.707040000000003,0.0479183644947798,RSF
7,20.68352,0.05368553959299873,RSF
8,23.0,0.057419747795031166,RSF
9,26.0,0.06489787043851969,RSF
10,27.245920000000005,0.06620117959102488,RSF
11,28.880640000000003,0.0684479306951426,RSF
12,30.0,0.07762209134879686,RSF
13,31.784800000000004,0.07950758368045541,RSF
14,33.0,0.08599740368508034,RSF
15,38.108480000000014,0.08886307455544332,RSF
16,41.68896000000001,0.09144237763035173,RSF
17,43.0,0.09745990636813577,RSF
18,44.958400000000005,0.09964608780949527,RSF
19,54.0,0.09835067628613817,RSF
20,59.22784000000001,0.10103228441694813,RSF
21,60.0,0.10253951017504681,RSF
22,63.49728000000001,0.10526134973940983,RSF
23,65.13200000000002,0.10576085673328868,RSF
24,67.76672,0.10612221435812555,RSF
25,72.0,0.10639402316535627,RSF
26,73.03616000000001,0.10640786253955631,RSF
27,74.0,0.10670985464978269,RSF
28,75.30560000000001,0.10675145066334428,RSF
29,77.94032000000001,0.10737751867000686,RSF
30,79.0,0.10836114776185986,RSF
31,80.0,0.10860512176563011,RSF
32,82.47920000000002,0.11058902609280513,RSF
33,83.22784000000001,0.11084118943586076,RSF
34,85.74864000000001,0.11070961108890708,RSF
35,87.0,0.1097616424906832,RSF
36,87.01808000000001,0.1097616424906832,RSF
37,88.0,0.11101528632814862,RSF
38,88.57504000000006,0.11101528632814862,RSF
39,90.0,0.11058632809821152,RSF
40,91.0,0.1106745108423882,RSF
41,94.0,0.11009468771362481,RSF
42,95.0,0.10877588267054503,RSF
43,97.28752000000007,0.10905427211515428,RSF
44,104.0,0.10731338221845212,RSF
45,106.36528000000004,0.1072149222421527,RSF
46,107.0,0.10630137434919915,RSF
47,108.0,0.10605338207554232,RSF
48,109.0,0.1078902899299347,RSF
49,110.53888,0.10810135649915685,RSF
50,112.17360000000002,0.1077667739766923,RSF
51,114.61664000000002,0.10649707233378032,RSF
52,117.44304,0.1059367876712095,RSF
53,120.0,0.10648620082365133,RSF
54,121.0,0.10576464157986283,RSF
55,122.96384000000006,0.10576464157986283,RSF
56,129.61664000000002,0.10895570843527215,RSF
57,136.25680000000017,0.1071295054401497,RSF
58,145.0,0.10783053722336336,RSF
59,146.0,0.1068079986860118,RSF
60,146.15552000000002,0.1068079986860118,RSF
61,147.0,0.1076442827815448,RSF
62,148.84992,0.10780845037875462,RSF
63,162.47744000000012,0.1063497105182674,RSF
64,171.69440000000003,0.1048176352414653,RSF
65,172.65823999999998,0.10559958926045417,RSF
66,174.0,0.10345748107230801,RSF
67,180.0,0.10221555355554372,RSF
68,185.23327999999998,0.10251818534738155,RSF
69,186.0,0.10199095392596712,RSF
70,187.0,0.10072090509934857,RSF
71,187.40688000000003,0.10072090509934857,RSF
72,192.0416,0.09780459627363458,RSF
73,194.67632,0.09930329599593589,RSF
74,196.31104000000002,0.09494332158853892,RSF
75,197.94575999999998,0.09544384828165593,RSF
76,201.0,0.08931760489078745,RSF
77,205.0,0.08595815103265614,RSF
78,206.84991999999997,0.08572028181027459,RSF
79,207.48464,0.07942027412248254,RSF
80,209.0,0.07924781966101054,RSF
81,210.3888,0.07863025965648639,RSF
82,212.0,0.07789051316049465,RSF
83,213.0,0.07791831201246918,RSF
84,214.0,0.06822877113366661,RSF
85,215.0,0.06812372724338943,RSF
86,215.19712,0.06812372724338943,RSF
87,228.3184,0.06605157399513481,RSF
88,231.93312000000003,0.06502804141108791,RSF
89,235.20255999999995,0.058650261155507866,RSF
90,239.20800000000014,0.05790519047786676,RSF
0,6.264,0.0038751560492301944,CPH
1,7.89872,0.011511952274754789,CPH
2,10.0,0.03528731646115437,CPH
3,10.802880000000002,0.03528731646115437,CPH
4,12.4376,0.04249400986761848,CPH
5,14.072320000000001,0.052638846041863536,CPH
6,15.707040000000003,0.059462475401219995,CPH
7,20.68352,0.06618689307011923,CPH
8,23.0,0.07187975100323254,CPH
9,26.0,0.08248597070818008,CPH
10,27.245920000000005,0.08415069147838011,CPH
11,28.880640000000003,0.08966104203047981,CPH
12,30.0,0.10431574883535936,CPH
13,31.784800000000004,0.10570081328920616,CPH
14,33.0,0.11576894534424867,CPH
15,38.108480000000014,0.12201747874499298,CPH
16,41.68896000000001,0.1229873649081741,CPH
17,43.0,0.13269955975238165,CPH
18,44.958400000000005,0.13578435068441425,CPH
19,54.0,0.13684967544968288,CPH
20,59.22784000000001,0.14031215556502244,CPH
21,60.0,0.14506251619151952,CPH
22,63.49728000000001,0.14870557904768245,CPH
23,65.13200000000002,0.15251852164422075,CPH
24,67.76672,0.1553341657370766,CPH
25,72.0,0.15371161257103128,CPH
26,73.03616000000001,0.15607964134965535,CPH
27,74.0,0.15646795523102278,CPH
28,75.30560000000001,0.15638214487466726,CPH
29,77.94032000000001,0.1568202505882748,CPH
30,79.0,0.1596417286674242,CPH
31,80.0,0.15989712725872704,CPH
32,82.47920000000002,0.16180618316340767,CPH
33,83.22784000000001,0.16195664999612253,CPH
34,85.74864000000001,0.16198233904095527,CPH
35,87.0,0.16163059630687476,CPH
36,87.01808000000001,0.16163059630687476,CPH
37,88.0,0.16286928892191604,CPH
38,88.57504000000006,0.16286928892191604,CPH
39,90.0,0.16947707185412866,CPH
40,91.0,0.1697004641745906,CPH
41,94.0,0.16997857747003148,CPH
42,95.0,0.16936488145688963,CPH
43,97.28752000000007,0.17119849311890983,CPH
44,104.0,0.1716332384734897,CPH
45,106.36528000000004,0.17201143952590592,CPH
46,107.0,0.16948699594386155,CPH
47,108.0,0.16833834501071324,CPH
48,109.0,0.1696297126956338,CPH
49,110.53888,0.16981456832294928,CPH
50,112.17360000000002,0.1698621642997748,CPH
51,114.61664000000002,0.1695928039201729,CPH
52,117.44304,0.17097620769630115,CPH
53,120.0,0.1714770273211655,CPH
54,121.0,0.17188094294967177,CPH
55,122.96384000000006,0.17188094294967177,CPH
56,129.61664000000002,0.1793712135725932,CPH
57,136.25680000000017,0.17839838462769003,CPH
58,145.0,0.17808971497082704,CPH
59,146.0,0.1793239963225962,CPH
60,146.15552000000002,0.1793239963225962,CPH
61,147.0,0.18040827797690506,CPH
62,148.84992,0.18080721174763764,CPH
63,162.47744000000012,0.18305112876454752,CPH
64,171.69440000000003,0.1869511988176341,CPH
65,172.65823999999998,0.19119088926824024,CPH
66,174.0,0.18984782390111613,CPH
67,180.0,0.1937046599654166,CPH
68,185.23327999999998,0.19416379257252595,CPH
69,186.0,0.19215576098757112,CPH
70,187.0,0.18887731146097508,CPH
71,187.40688000000003,0.18887731146097508,CPH
72,192.0416,0.18654367559656387,CPH
73,194.67632,0.18824508045980268,CPH
74,196.31104000000002,0.1853139192305955,CPH
75,197.94575999999998,0.18474855489927453,CPH
76,201.0,0.17884638483474277,CPH
77,205.0,0.17669047815730496,CPH
78,206.84991999999997,0.17663066015321877,CPH
79,207.48464,0.15924542234202563,CPH
80,209.0,0.15844517120016724,CPH
81,210.3888,0.15468600711579075,CPH
82,212.0,0.15126626192246606,CPH
83,213.0,0.1486628959255052,CPH
84,214.0,0.14050791344777627,CPH
85,215.0,0.13621790618086838,CPH
86,215.19712,0.13621790618086838,CPH
87,228.3184,0.13334184214927483,CPH
88,231.93312000000003,0.13236860815103024,CPH
89,235.20255999999995,0.11722606094735315,CPH
90,239.20800000000014,0.11541966728732321,CPH
